date,hour,weather,temp,rainProb,rainMM,humid,windSpeed,windDir
2022-04-10,01,"晴れ",14.4,0,0,92,2,"北"
2022-04-10,02,"晴れ",13.5,0,0,94,2,"北"
2022-04-10,03,"晴れ",12.6,0,0,94,2,"北北西"
2022-04-10,04,"晴れ",12.0,0,0,94,2,"北北西"
2022-04-10,05,"晴れ",11.2,0,0,92,2,"北北西"
2022-04-10,06,"晴れ",11.0,0,0,90,2,"北北西"
2022-04-10,07,"晴れ",12.4,0,0,84,2,"北北西"
2022-04-10,08,"晴れ",14.7,0,0,72,2,"北北西"
2022-04-10,09,"晴れ",17.6,0,0,62,2,"北北西"
2022-04-10,10,"晴れ",20.1,0,0,54,2,"北北西"
2022-04-10,11,"晴れ",22.1,0,0,50,1,"北西"
2022-04-10,12,"晴れ",23.9,0,0,46,2,"西"
2022-04-10,13,"晴れ",25.2,0,0,42,2,"西南西"
2022-04-10,14,"晴れ",26.2,0,0,40,2,"南南西"
2022-04-10,15,"晴れ",26.0,0,0,38,2,"南南西"
2022-04-10,16,"晴れ",25.3,0,0,40,2,"南南西"
2022-04-10,17,"晴れ",24.0,0,0,44,2,"南南西"
2022-04-10,18,"晴れ",22.0,0,0,52,4,"南"
2022-04-10,19,"晴れ",20.2,0,0,58,3,"南南東"
2022-04-10,20,"晴れ",18.8,0,0,66,3,"南南東"
2022-04-10,21,"晴れ",17.6,0,0,72,2,"南東"
2022-04-10,22,"晴れ",16.9,0,0,74,1,"南東"
2022-04-10,23,"晴れ",16.4,0,0,80,1,"東南東"
2022-04-11,0,"晴れ",15.8,0,0,80,2,"北北西"
